

Results from heasarc_rc3: Third Reference Catalog of Bright Galaxies
Coordinate system:  Equatorial
|ra        |dec      |lii     |bii     |log_d25|class            |
|13 41 36.0|+30 05 00| 50.9098| 78.6077|   0.94|    SPIRAL GALAXY|
|15 37 12.0|+30 05 00| 47.6405| 53.6943|   1.14|    SPIRAL GALAXY|
|13 39 48.0|+30 06 00| 51.4210| 78.9845|   0.97|    SPIRAL GALAXY|
|16 06 40.3|+30 06 07| 48.9226| 47.3726|   1.16|    SPIRAL GALAXY|
|13 19 54.0|+30 07 00| 60.1763| 83.0780|   1.00|ELLIPTICAL GALAXY|
|08 44 08.0|+30 07 07|194.0790| 36.3192|   1.51|    SPIRAL GALAXY|
|01 00 39.5|+30 07 36|125.3012|-32.7027|   0.72|LENTICULAR GALAXY|
|23 37 39.3|+30 07 47|104.4945|-30.0868|   0.45|ELLIPTICAL GALAXY|
|01 01 11.7|+30 07 51|125.4388|-32.6934|   1.04|    SPIRAL GALAXY|
|09 14 34.8|+30 08 25|195.7967| 42.7670|   1.38|LENTICULAR GALAXY|
|23 00 59.9|+30 08 39| 96.2174|-26.9365|   1.63|LENTICULAR GALAXY|
|15 45 33.6|+30 08 49| 48.0672| 51.9038|   1.06|    SPIRAL GALAXY|
|10 09 30.0|+30 09 00|198.2478| 54.5238|   1.22| IRREGULAR GALAXY|
|10 38 24.0|+30 09 00|199.0387| 60.7561|   0.87|    SPIRAL GALAXY|
|15 54 06.0|+30 09 00| 48.4261| 50.0715|       |           GALAXY|
|07 48 35.1|+30 09 09|190.2772| 24.7684|   1.00|    SPIRAL GALAXY|
|02 39 15.1|+30 09 11|149.0753|-27.1886|   1.40|    SPIRAL GALAXY|
|01 01 13.2|+30 09 13|125.4440|-32.6704|   0.64|    SPIRAL GALAXY|
|11 59 31.5|+30 09 28|194.9778| 78.2218|   1.03|    SPIRAL GALAXY|
|00 50 49.6|+30 09 46|122.7749|-32.7088|   0.98|    SPIRAL GALAXY|
|16 24 17.9|+30 09 50| 49.8880| 43.6216|   0.98|    SPIRAL GALAXY|
|07 11 24.0|+30 10 00|187.3168| 17.2220|   1.00|    SPIRAL GALAXY|
|08 04 06.0|+30 10 00|191.3873| 27.9712|       |           GALAXY|
|17 01 30.0|+30 10 00| 52.0120| 35.7500|   1.18|ELLIPTICAL GALAXY|
|17 12 12.0|+30 10 00| 52.6853| 33.5046|   1.03|    SPIRAL GALAXY|
|23 03 54.0|+30 10 00| 96.8553|-27.2035|   1.03|LENTICULAR GALAXY|
|22 42 24.7|+30 10 10| 92.3459|-24.9309|   1.17|    SPIRAL GALAXY|
|02 26 02.7|+30 10 21|146.1523|-28.3984|   1.02|LENTICULAR GALAXY|
|01 10 21.3|+30 10 57|127.7800|-32.5111|       |           GALAXY|
|18 12 24.0|+30 11 00| 57.0075| 21.0796|   1.19|    SPIRAL GALAXY|
|02 33 47.1|+30 11 22|147.8641|-27.6804|   1.00|           GALAXY|
|00 13 43.5|+30 11 41|113.3240|-31.9725|   0.94|    SPIRAL GALAXY|
|01 15 11.9|+30 11 43|129.0129|-32.3958|   1.13|    SPIRAL GALAXY|
|00 17 36.1|+30 12 19|114.3009|-32.0988|   1.27|    SPIRAL GALAXY|
|23 54 55.9|+30 12 41|108.6735|-31.0910|   1.04|           GALAXY|
|14 54 17.3|+30 12 44| 46.8128| 62.9586|   0.99|    SPIRAL GALAXY|
|00 17 17.0|+30 12 49|114.2222|-32.0799|   0.74|    SPIRAL GALAXY|
|08 05 42.0|+30 13 00|191.4455| 28.3167|       |           GALAXY|
|09 12 48.0|+30 13 00|195.5997| 42.4027|   0.99|    SPIRAL GALAXY|
|17 07 24.0|+30 13 00| 52.4387| 34.5227|   1.21|    SPIRAL GALAXY|
|23 30 27.0|+30 13 16|102.8428|-29.4719|   1.17|    SPIRAL GALAXY|
|23 10 04.8|+30 13 28| 98.2345|-27.7412|   0.69|           GALAXY|
|11 42 17.2|+30 13 48|197.2866| 74.5356|   1.17|    SPIRAL GALAXY|
|13 42 30.0|+30 14 00| 51.4396| 78.3859|       |           GALAXY|
|14 56 35.8|+30 14 01| 46.8831| 62.4605|   0.95|    SPIRAL GALAXY|
|23 01 25.4|+30 14 10| 96.3563|-26.8973|   1.17|    SPIRAL GALAXY|
|00 46 25.4|+30 14 18|121.6460|-32.6209|   1.13|    SPIRAL GALAXY|
|03 03 54.0|+30 15 00|154.1644|-24.4699|   1.00|    SPIRAL GALAXY|
|13 19 39.8|+30 15 26| 61.4126| 83.0663|   1.24|    SPIRAL GALAXY|
|23 55 28.5|+30 15 29|108.8199|-31.0755|       |           GALAXY|
|03 38 55.7|+30 15 33|160.7884|-20.0381|   1.16|    SPIRAL GALAXY|
|12 16 48.6|+30 16 14|188.4100| 81.7852|   0.96| IRREGULAR GALAXY|
|13 05 18.8|+30 16 33| 79.7244| 85.6228|   0.32|           GALAXY|
|12 33 51.7|+30 16 42|172.6331| 85.0232|   1.41|    SPIRAL GALAXY|
|00 57 32.8|+30 16 47|124.4969|-32.5735|   1.18|LENTICULAR GALAXY|
|00 38 32.0|+30 17 19|119.6288|-32.5004|   1.07|    SPIRAL GALAXY|
|22 28 25.0|+30 17 30| 89.6433|-23.1809|   1.33| IRREGULAR GALAXY|
|18 09 06.0|+30 18 00| 56.8665| 21.7898|   1.09|    SPIRAL GALAXY|
|23 54 22.0|+30 18 09|108.5629|-30.9719|       |           GALAXY|
|11 14 37.3|+30 18 53|198.6358| 68.5777|   1.10|    SPIRAL GALAXY|
|23 07 48.3|+30 18 58| 97.7801|-27.4453|   0.95|    SPIRAL GALAXY|
|13 44 30.0|+30 19 00| 51.3915| 77.9462|       |           GALAXY|
|17 07 42.0|+30 19 00| 52.5754| 34.4838|   1.07|    SPIRAL GALAXY|
|10 09 51.8|+30 19 21|197.9638| 54.6177|   1.19|    SPIRAL GALAXY|
|07 06 27.8|+30 19 26|186.7464| 16.2930|   1.07| IRREGULAR GALAXY|
|17 01 29.6|+30 19 40| 52.2048| 35.7885|   1.15|    SPIRAL GALAXY|
|02 09 06.0|+30 20 00|142.2022|-29.6158|   0.96| IRREGULAR GALAXY|
|13 47 12.0|+30 20 00| 50.9170| 77.3722|   1.04|    SPIRAL GALAXY|
|23 17 02.3|+30 20 06| 99.8328|-28.2680|   1.16|    SPIRAL GALAXY|
|13 43 09.1|+30 20 12| 51.7873| 78.2262|   1.09|    SPIRAL GALAXY|
|12 19 48.1|+30 20 17|186.2293| 82.3607|   1.00|ELLIPTICAL GALAXY|
|00 47 02.4|+30 20 19|121.8065|-32.5235|   1.34|    SPIRAL GALAXY|
|00 54 05.7|+30 20 48|123.6118|-32.5216|   0.95|    SPIRAL GALAXY|
|01 16 06.1|+30 20 58|129.2220|-32.2209|   1.20|ELLIPTICAL GALAXY|
|13 13 18.0|+30 21 00| 68.1357| 84.2268|   0.93|    SPIRAL GALAXY|
|00 57 49.1|+30 21 10|124.5640|-32.4988|   1.51|ELLIPTICAL GALAXY|
|11 48 03.1|+30 21 34|196.0917| 75.7487|   1.31|    SPIRAL GALAXY|
|02 01 13.3|+30 21 36|140.3380|-30.1422|   1.26| IRREGULAR GALAXY|
|07 52 13.2|+30 21 38|190.3267| 25.5793|   1.14| IRREGULAR GALAXY|
|16 00 30.9|+30 22 24| 49.0441| 48.7273|   0.52|LENTICULAR GALAXY|
|02 44 58.0|+30 22 38|150.1844|-26.4186|   1.19|    SPIRAL GALAXY|
|13 41 11.4|+30 22 39| 52.4627| 78.6292|   0.92|    SPIRAL GALAXY|
|00 34 24.0|+30 23 00|118.5825|-32.3445|       |           GALAXY|
|13 15 06.0|+30 23 00| 66.4451| 83.8787|       |           GALAXY|
|01 51 43.4|+30 23 06|138.0550|-30.7102|   0.74|    SPIRAL GALAXY|
|12 43 04.0|+30 23 08|151.8250| 86.2618|   1.12|    SPIRAL GALAXY|
|23 55 24.6|+30 23 15|108.8420|-30.9467|   0.94|    SPIRAL GALAXY|
|11 57 08.8|+30 23 33|194.3828| 77.6711|   1.02|LENTICULAR GALAXY|
|01 20 40.1|+30 23 38|130.3699|-32.0554|   0.85|    SPIRAL GALAXY|
|00 55 33.0|+30 23 54|123.9829|-32.4650|       |           GALAXY|
|12 10 33.5|+30 24 06|190.4468| 80.4667|   1.37|LENTICULAR GALAXY|
|09 35 18.8|+30 24 21|196.4564| 47.2267|   0.50|           GALAXY|
|11 18 09.9|+30 24 24|198.2716| 69.3364|   0.89|    SPIRAL GALAXY|
|12 39 08.1|+30 24 24|161.6354| 85.7558|   0.96|    SPIRAL GALAXY|
|14 28 52.1|+30 24 46| 47.4790| 68.4409|   1.15|    SPIRAL GALAXY|
|11 58 55.6|+30 24 48|193.8960| 78.0416|   1.32|    SPIRAL GALAXY|
|02 07 18.5|+30 25 27|141.7484|-29.6604|   1.00|    SPIRAL GALAXY|
|08 28 24.0|+30 26 00|192.7237| 33.0949|   0.89|    SPIRAL GALAXY|
|09 27 22.9|+30 26 29|196.0331| 45.5416|   1.24|    SPIRAL GALAXY|
|14 38 50.5|+30 26 36| 47.3637| 66.2913|   1.20|    SPIRAL GALAXY|
|02 26 20.7|+30 26 41|146.0940|-28.1233|   0.93|LENTICULAR GALAXY|
|14 25 54.0|+30 27 00| 47.6728| 69.0780|       |ELLIPTICAL GALAXY|
|16 09 36.0|+30 27 00| 49.5652| 46.7986|   1.11|LENTICULAR GALAXY|
|18 29 36.0|+30 27 00| 58.6660| 17.7030|   1.07|    SPIRAL GALAXY|
|05 17 48.0|+30 27 47|175.4136| -4.2211|   1.00|LENTICULAR GALAXY|
|00 21 12.0|+30 28 00|115.2519|-31.9538|   0.82|LENTICULAR GALAXY|
|11 20 00.0|+30 29 00|197.9825| 69.7263|   1.00|LENTICULAR GALAXY|
|13 14 18.0|+30 29 00| 68.1031| 83.9733|   1.02|    SPIRAL GALAXY|
|14 37 48.0|+30 29 00| 47.4776| 66.5147|   1.04|    SPIRAL GALAXY|
|15 29 40.6|+30 29 09| 48.0786| 55.3481|       |    SPIRAL GALAXY|
|00 55 23.1|+30 29 21|123.9387|-32.3749|       |           GALAXY|
|07 47 10.1|+30 29 21|189.8201| 24.5833|   0.74|    SPIRAL GALAXY|
|21 55 16.5|+30 29 21| 83.7134|-18.6597|   0.96| IRREGULAR GALAXY|
|21 26 06.4|+30 29 34| 78.9482|-14.3458|   1.04|    SPIRAL GALAXY|
|09 50 42.1|+30 29 41|196.9819| 50.5262|   1.14|    SPIRAL GALAXY|
|16 52 54.0|+30 30 00| 51.9016| 37.6332|   0.89|    SPIRAL GALAXY|
|02 18 44.0|+30 30 09|144.3526|-28.7126|   0.96|    SPIRAL GALAXY|
|22 42 50.0|+30 30 15| 92.6241|-24.6931|   1.14|    SPIRAL GALAXY|
|00 21 16.9|+30 30 25|115.2790|-31.9163|   0.94|    SPIRAL GALAXY|
|08 32 12.0|+30 31 00|192.8673| 33.9091|       |           GALAXY|
|13 17 12.0|+30 31 00| 65.4408| 83.4201|       |           GALAXY|
|16 07 00.0|+30 31 00| 49.5436| 47.3625|       |           GALAXY|
|13 41 56.4|+30 31 11| 52.9648| 78.4384|   0.33|           GALAXY|
|23 01 15.6|+30 31 55| 96.4739|-26.6185|       |           GALAXY|
|08 35 32.9|+30 31 56|193.0574| 34.6130|   0.74|    SPIRAL GALAXY|
|07 33 24.0|+30 33 00|188.7144| 21.7971|   1.13|    SPIRAL GALAXY|
|13 23 43.3|+30 33 50| 60.7605| 82.1429|   1.00|    SPIRAL GALAXY|
|23 41 54.7|+30 34 52|105.6654|-29.9489|   1.03|    SPIRAL GALAXY|
|10 12 42.0|+30 35 00|197.5997| 55.2486|       |           GALAXY|
|11 13 24.0|+30 35 00|197.9403| 68.3017|   0.82|    SPIRAL GALAXY|
|21 55 04.8|+30 35 01| 83.7449|-18.5607|       |           GALAXY|
|02 26 29.9|+30 35 02|146.0642|-27.9827|   0.87|    SPIRAL GALAXY|
|02 17 13.4|+30 35 08|143.9733|-28.7572|   0.62|           GALAXY|
|00 43 36.6|+30 35 15|120.9398|-32.2540|   1.22|ELLIPTICAL GALAXY|
|09 03 14.4|+30 35 33|194.5922| 40.4483|   1.27|    SPIRAL GALAXY|
|00 27 54.0|+30 36 00|116.9591|-31.9986|   0.97|    SPIRAL GALAXY|
|14 28 30.0|+30 37 00| 48.0452| 68.5096|       |           GALAXY|
|03 03 43.1|+30 37 12|153.9115|-24.1777|   1.00|    SPIRAL GALAXY|
|15 21 00.0|+30 39 00| 48.1421| 57.2227|       |           GALAXY|
|18 17 54.0|+30 39 00| 57.9116| 20.1269|   1.06|    SPIRAL GALAXY|
|01 33 50.9|+30 39 37|133.6102|-31.3306|   2.85|    SPIRAL GALAXY|
|02 49 21.6|+30 40 02|150.9541|-25.7106|   1.00|    SPIRAL GALAXY|
|01 00 36.2|+30 40 06|125.2601|-32.1620|   1.27|    SPIRAL GALAXY|
|13 16 20.6|+30 40 42| 67.4846| 83.4970|   0.84|    SPIRAL GALAXY|
|15 36 19.4|+30 40 56| 48.6205| 53.9387|   0.69|    SPIRAL GALAXY|
|16 23 31.4|+30 41 00| 50.5574| 43.8745|   1.00|           GALAXY|
|17 54 06.0|+30 41 00| 56.1287| 24.9724|   0.94| IRREGULAR GALAXY|
|07 50 10.1|+30 41 03|189.8359| 25.2576|   0.96|    SPIRAL GALAXY|
|15 18 00.8|+30 41 19| 48.1476| 57.8661|   1.15|    SPIRAL GALAXY|
|02 49 30.2|+30 41 51|150.9677|-25.6692|   1.00|    SPIRAL GALAXY|
|17 46 31.6|+30 41 58| 55.5991| 26.5292|   0.98|    SPIRAL GALAXY|
|12 56 42.0|+30 42 00|105.3773| 86.2473|       |           GALAXY|
|12 57 00.0|+30 42 00|104.4464| 86.2267|       |ELLIPTICAL GALAXY|
|16 04 30.0|+30 42 00| 49.7034| 47.9205|   1.06| IRREGULAR GALAXY|
|17 02 18.0|+30 42 00| 52.7001| 35.7042|   1.08|LENTICULAR GALAXY|
|00 58 01.5|+30 42 19|124.6042|-32.1451|       |           GALAXY|
|13 14 33.2|+30 42 19| 69.5694| 83.8064|   1.22|    SPIRAL GALAXY|
|07 18 16.2|+30 42 31|187.3547| 18.7984|   1.07|    SPIRAL GALAXY|
|23 38 14.9|+30 42 31|104.8498|-29.5803|   1.00|    SPIRAL GALAXY|
|22 42 03.0|+30 42 36| 92.5842|-24.4295|   1.06|    SPIRAL GALAXY|
|00 33 48.0|+30 43 00|118.4616|-32.0019|   1.09|LENTICULAR GALAXY|
|01 02 24.0|+30 43 00|125.7130|-32.0959|       |           GALAXY|
|10 44 18.0|+30 43 00|197.9270| 62.0427|       |           GALAXY|
|18 25 42.0|+30 43 00| 58.6062| 18.5818|   1.00|    SPIRAL GALAXY|
|21 57 24.7|+30 43 19| 84.2420|-18.7817|       |           GALAXY|
|12 46 11.3|+30 43 28|140.3319| 86.2249|   1.34|    SPIRAL GALAXY|
|07 50 09.4|+30 43 58|189.7839| 25.2701|   1.22|    SPIRAL GALAXY|
|11 59 12.3|+30 43 58|192.3304| 78.0254|   0.98|    SPIRAL GALAXY|
|09 59 18.0|+30 44 00|196.9201| 52.3911|   1.71| IRREGULAR GALAXY|
|12 46 10.2|+30 44 00|140.3470| 86.2153|   1.36|LENTICULAR GALAXY|
|14 04 48.0|+30 44 00| 49.9508| 73.5692|   0.97|    SPIRAL GALAXY|
|00 32 44.4|+30 45 00|118.1973|-31.9498|   1.08|    SPIRAL GALAXY|
|14 05 24.0|+30 45 00| 49.9454| 73.4392|   1.00|LENTICULAR GALAXY|
|12 49 41.0|+30 45 14|128.8705| 86.3541|   1.00|    SPIRAL GALAXY|
|23 02 04.4|+30 45 52| 96.7669|-26.4921|   1.00|    SPIRAL GALAXY|
|00 27 59.8|+30 45 55|117.0044|-31.8365|   0.98|    SPIRAL GALAXY|
|08 03 12.0|+30 47 00|190.6554| 27.9621|   0.89|    SPIRAL GALAXY|
|14 05 12.0|+30 47 00| 50.0825| 73.4770|   0.93|    SPIRAL GALAXY|
|01 23 28.5|+30 47 04|131.0096|-31.5843|   1.24|    SPIRAL GALAXY|
|21 56 26.1|+30 47 17| 84.1186|-18.5953|   1.10|    SPIRAL GALAXY|
|00 31 20.5|+30 47 24|117.8490|-31.8833|   1.18|    SPIRAL GALAXY|
|10 11 30.4|+30 47 31|197.2019| 55.0086|   1.11|    SPIRAL GALAXY|
|01 00 32.7|+30 47 49|125.2389|-32.0340|   0.98|    SPIRAL GALAXY|
|08 38 33.7|+30 47 56|192.9246| 35.3052|   1.06|    SPIRAL GALAXY|
|12 20 36.0|+30 47 58|182.5446| 82.3234|   0.80| IRREGULAR GALAXY|
|15 35 17.1|+30 48 05| 48.7910| 54.1710|   1.11|    SPIRAL GALAXY|
|00 28 15.0|+30 48 08|117.0727|-31.8056|   1.23|    SPIRAL GALAXY|
|22 33 33.1|+30 48 09| 90.9525|-23.3728|   1.14|    SPIRAL GALAXY|
|00 54 59.4|+30 48 18|123.8319|-32.0605|   1.14|    SPIRAL GALAXY|
|05 07 06.0|+30 49 00|173.7751| -5.8818|   1.40| IRREGULAR GALAXY|
|08 42 00.0|+30 49 00|193.1082| 36.0285|       |           GALAXY|
|13 28 24.0|+30 49 00| 59.6493| 81.1185|   1.03|    SPIRAL GALAXY|
|14 29 12.0|+30 49 00| 48.5635| 68.3474|   1.07|    SPIRAL GALAXY|
|14 38 54.0|+30 49 00| 48.2904| 66.2674|   0.89|    SPIRAL GALAXY|
|14 54 54.0|+30 49 00| 48.1423| 62.8330|   1.15|    SPIRAL GALAXY|
|18 36 00.0|+30 49 00| 59.5581| 16.5615|   1.35|    SPIRAL GALAXY|
|02 24 41.9|+30 49 02|145.5569|-27.9248|   1.00| IRREGULAR GALAXY|
|21 50 10.3|+30 49 23| 83.0756|-17.6856|   0.96|    SPIRAL GALAXY|
|19 20 28.7|+30 49 29| 63.6186|  7.8783|   1.00|    SPIRAL GALAXY|
|02 04 02.3|+30 49 58|140.8305|-29.5032|   1.14|LENTICULAR GALAXY|
|14 12 36.0|+30 50 00| 49.5582| 71.8950|       |           GALAXY|
|22 32 24.3|+30 50 02| 90.7475|-23.2111|   1.09|    SPIRAL GALAXY|
|12 25 56.0|+30 50 34|177.7538| 83.3009|   1.04|    SPIRAL GALAXY|
|11 59 49.6|+30 50 39|191.6455| 78.1264|   0.90|LENTICULAR GALAXY|
|02 38 11.7|+30 50 51|148.4965|-26.6711|   1.15|    SPIRAL GALAXY|
|00 10 22.4|+30 50 57|112.6275|-31.1996|   1.32|    SPIRAL GALAXY|
|12 49 32.4|+30 51 00|129.1811| 86.2552|   1.09|    SPIRAL GALAXY|
|12 05 15.9|+30 51 18|189.9328| 79.2444|   0.77|LENTICULAR GALAXY|
|22 52 35.6|+30 51 21| 94.8197|-25.4494|       |           GALAXY|
|22 23 38.0|+30 51 37| 89.0801|-22.1258|   1.26|    SPIRAL GALAXY|
|15 35 16.5|+30 51 53| 48.8986| 54.1782|   0.91|    SPIRAL GALAXY|
|08 51 33.1|+30 51 56|193.6000| 38.0414|   1.26|LENTICULAR GALAXY|
|13 18 37.5|+30 51 56| 66.7032| 82.9805|       |           GALAXY|
|11 50 48.0|+30 52 00|193.5833| 76.2371|       |ELLIPTICAL GALAXY|
|02 30 33.1|+30 52 26|146.8247|-27.3588|   0.80| IRREGULAR GALAXY|
|17 22 40.0|+30 52 43| 54.1760| 31.5028|   0.92|    SPIRAL GALAXY|
|00 13 56.9|+30 52 58|113.5176|-31.3027|   0.61|    SPIRAL GALAXY|
|04 24 12.0|+30 54 00|167.7457|-12.9082|   1.04|    SPIRAL GALAXY|
|09 16 42.0|+30 54 00|194.8812| 43.3485|   1.06|    SPIRAL GALAXY|
|12 09 06.0|+30 54 00|188.2484| 80.0108|   1.18|    SPIRAL GALAXY|
|13 20 12.0|+30 54 00| 65.5969| 82.6701|       |           GALAXY|
|17 18 06.0|+30 54 00| 53.9083| 32.4561|   1.16| IRREGULAR GALAXY|
|07 49 19.2|+30 54 06|189.5454| 25.1507|   1.04|    SPIRAL GALAXY|
|01 59 36.2|+30 54 35|139.7622|-29.7245|   0.92|    SPIRAL GALAXY|
|00 13 01.0|+30 54 57|113.2939|-31.2359|   1.21|LENTICULAR GALAXY|
|07 19 47.1|+30 54 59|187.2720| 19.1764|   1.08|    SPIRAL GALAXY|
|22 23 00.0|+30 55 00| 88.9957|-22.0012|   0.39|           GALAXY|
|22 23 02.8|+30 55 26| 89.0090|-22.0011|   0.48|           GALAXY|
|07 28 37.6|+30 55 48|187.9590| 20.9595|   1.00|    SPIRAL GALAXY|
|12 27 40.6|+30 55 55|175.3021| 83.5641|   0.62|           GALAXY|
|03 15 06.0|+30 56 00|155.9501|-22.5737|   1.04|    SPIRAL GALAXY|
|02 16 55.7|+30 56 02|143.7594|-28.4571|   0.94|    SPIRAL GALAXY|
|04 27 30.0|+30 56 50|168.2027|-12.3566|   0.96|    SPIRAL GALAXY|
|14 27 10.4|+30 56 52| 49.0040| 68.7720|   1.07|    SPIRAL GALAXY|
|23 15 08.9|+30 56 57| 99.6955|-27.5415|   0.96|    SPIRAL GALAXY|
|13 16 12.3|+30 56 59| 69.6247| 83.3757|   1.24|    SPIRAL GALAXY|
|14 38 54.0|+30 57 00| 48.6214| 66.2621|   1.00|LENTICULAR GALAXY|
|13 39 42.0|+31 17 00| 57.3400| 78.6868|   1.04| IRREGULAR GALAXY|
|22 31 33.1|+30 57 21| 90.6550|-23.0083|   1.19|    SPIRAL GALAXY|
|13 24 25.6|+30 57 36| 62.8803| 81.8386|   0.89|    SPIRAL GALAXY|
|23 49 12.0|+30 58 53|107.5290|-30.0220|   1.00|ELLIPTICAL GALAXY|
|13 20 12.0|+30 59 00| 66.1641| 82.6292|       |           GALAXY|
|18 10 30.0|+30 59 00| 57.6684| 21.7343|   1.20|    SPIRAL GALAXY|
|18 31 12.0|+30 59 00| 59.3191| 17.5792|   0.96|    SPIRAL GALAXY|
|15 27 18.5|+30 59 04| 48.8960| 55.8909|   1.00|    SPIRAL GALAXY|
|13 23 57.1|+30 59 14| 63.3715| 81.9179|   1.33|    SPIRAL GALAXY|
|23 57 23.9|+30 59 32|109.4970|-30.4658|   1.24|    SPIRAL GALAXY|
|00 27 31.6|+30 59 42|116.9156|-31.5973|       |           GALAXY|
|00 29 07.4|+31 00 15|117.3163|-31.6242|       |           GALAXY|
|15 46 44.9|+31 00 39| 49.5006| 51.7405|   1.09|    SPIRAL GALAXY|
|23 28 01.7|+31 00 47|102.6099|-28.5461|   1.06|    SPIRAL GALAXY|
|13 16 24.0|+31 01 00| 69.9038| 83.3038|   1.13|LENTICULAR GALAXY|
|23 11 50.6|+31 01 15| 99.0035|-27.1821|   1.28|    SPIRAL GALAXY|
|04 05 06.2|+31 01 38|164.6844|-15.7325|   1.22|    SPIRAL GALAXY|
|01 16 15.1|+31 02 02|129.1687|-31.5372|   1.40|    SPIRAL GALAXY|
|13 31 56.0|+31 02 03| 59.1593| 80.3341|   0.96|    SPIRAL GALAXY|
|11 15 10.1|+31 02 07|196.6437| 68.6512|   1.18|LENTICULAR GALAXY|
|01 18 40.2|+31 02 11|129.7717|-31.4734|   1.02|    SPIRAL GALAXY|
|00 03 08.1|+31 02 22|110.8994|-30.7012|       |           GALAXY|
|01 01 24.1|+31 02 28|125.4426|-31.7821|   0.94|    SPIRAL GALAXY|
|02 21 32.3|+31 02 36|144.7508|-27.9828|   1.05|    SPIRAL GALAXY|
|14 04 48.0|+31 03 00| 51.0561| 73.5217|       |           GALAXY|
|15 34 45.5|+31 03 06| 49.2029| 54.3030|   1.22|    SPIRAL GALAXY|
|04 03 01.1|+31 03 23|164.3271|-16.0192|   1.14|    SPIRAL GALAXY|
|12 51 20.0|+31 03 25|123.2588| 86.0712|   0.82|    SPIRAL GALAXY|
|12 05 45.5|+31 03 32|188.7164| 79.2819|   1.42|LENTICULAR GALAXY|
|00 12 19.3|+31 03 44|113.1525|-31.0656|   1.06|    SPIRAL GALAXY|
|09 36 42.0|+31 04 00|195.5493| 47.6124|       |           GALAXY|
|12 05 42.0|+31 04 00|188.6983| 79.2676|   0.60|LENTICULAR GALAXY|
|16 14 54.0|+31 04 00| 50.6876| 45.7618|   1.00|    SPIRAL GALAXY|
|18 31 42.0|+31 04 00| 59.4417| 17.5103|   1.08|    SPIRAL GALAXY|
|23 05 51.3|+31 04 13| 97.7304|-26.5836|   0.95|    SPIRAL GALAXY|
|00 56 09.6|+31 04 30|124.1214|-31.7858|   0.96|    SPIRAL GALAXY|
|01 15 49.6|+31 04 50|129.0565|-31.5010|   1.28|    SPIRAL GALAXY|
|12 43 14.1|+31 04 52|146.8237| 85.6603|   0.94|    SPIRAL GALAXY|
|11 57 28.2|+31 05 05|191.1669| 77.5760|   0.99| IRREGULAR GALAXY|
|21 43 51.9|+31 05 15| 82.2123|-16.5821|       |           GALAXY|
|13 17 31.1|+31 05 38| 69.3298| 83.0615|   1.10|    SPIRAL GALAXY|
|09 44 56.2|+31 05 58|195.8253| 49.3667|   1.08|    SPIRAL GALAXY|
|12 53 52.3|+31 06 25|115.4689| 85.9860|   0.89|    SPIRAL GALAXY|
|18 10 57.4|+31 07 03| 57.8396| 21.6868|   1.26|ELLIPTICAL GALAXY|
|23 32 43.8|+31 07 18|103.7277|-28.7981|   1.07|    SPIRAL GALAXY|
|23 14 19.1|+31 07 27| 99.5938|-27.3090|   0.96|    SPIRAL GALAXY|
|23 12 20.6|+31 07 38| 99.1629|-27.1306|   1.26|ELLIPTICAL GALAXY|
|13 29 48.3|+31 07 49| 60.7468| 80.7197|   1.11|    SPIRAL GALAXY|
|01 09 41.9|+31 07 58|127.5186|-31.5763|   0.72|LENTICULAR GALAXY|
|15 36 24.0|+31 08 00| 49.3867| 53.9586|   0.94|    SPIRAL GALAXY|
|00 28 34.7|+31 09 15|117.1982|-31.4630|   0.95|           GALAXY|
|02 06 49.5|+31 09 27|141.3577|-29.0027|       |           GALAXY|
|12 04 45.2|+31 09 33|188.5769| 79.0460|   0.75|           GALAXY|
|15 05 37.2|+31 09 46| 48.9044| 60.5379|   0.97|    SPIRAL GALAXY|
|12 40 06.0|+31 10 00|153.7599| 85.2638|       |           GALAXY|
|23 14 36.4|+31 10 08| 99.6778|-27.2936|       |           GALAXY|
|12 20 27.7|+31 10 15|180.2184| 82.1240|   0.75|    SPIRAL GALAXY|
|02 05 26.8|+31 10 33|141.0321|-29.0814|   1.34|    SPIRAL GALAXY|
|12 04 43.9|+31 10 34|188.5003| 79.0362|   0.93|    SPIRAL GALAXY|
|16 17 24.0|+31 11 00| 50.9634| 45.2494|   1.09|    SPIRAL GALAXY|
|21 37 57.3|+31 11 03| 81.3215|-15.6461|   1.07|    SPIRAL GALAXY|
|10 04 05.6|+31 11 10|196.3220| 53.4545|   1.25|LENTICULAR GALAXY|
|02 13 40.4|+31 11 31|142.9140|-28.4691|   0.95|           GALAXY|
|00 28 16.9|+31 11 58|117.1298|-31.4113|       |           GALAXY|
|01 03 49.6|+31 11 58|126.0423|-31.5975|   0.96|    SPIRAL GALAXY|
|13 39 18.0|+31 12 00| 57.0732| 78.7942|   1.05|    SPIRAL GALAXY|
|14 30 10.4|+31 12 54| 49.5950| 68.1111|   1.24|    SPIRAL GALAXY|
|15 21 54.0|+31 13 00| 49.2036| 57.0594|   0.90|LENTICULAR GALAXY|
|16 57 06.0|+31 13 00| 53.0227| 36.9051|   0.96|    SPIRAL GALAXY|
|13 21 13.4|+31 13 19| 66.9042| 82.3201|   1.20|    SPIRAL GALAXY|
|11 20 41.2|+31 13 20|195.8172| 69.8104|   1.30|    SPIRAL GALAXY|
|12 26 27.5|+31 13 29|174.5234| 83.1824|   1.56|    SPIRAL GALAXY|
